ctime,activePower
3/11/2020 12:00,0
3/11/2020 12:01,0
3/11/2020 12:02,0
3/11/2020 12:03,0
3/11/2020 12:04,0
3/11/2020 12:05,0
3/11/2020 12:06,0
3/11/2020 12:07,0
3/11/2020 12:08,0
3/11/2020 12:09,0
3/11/2020 12:10,0
3/11/2020 12:11,0
3/11/2020 12:12,0
3/11/2020 12:13,0
3/11/2020 12:14,0
3/11/2020 12:15,0
3/11/2020 12:16,0
3/11/2020 12:17,0
3/11/2020 12:18,0
3/11/2020 12:19,0
3/11/2020 12:20,0
3/11/2020 12:21,0
3/11/2020 12:22,0
3/11/2020 12:23,0
3/11/2020 12:24,0
3/11/2020 12:25,0
3/11/2020 12:26,0
3/11/2020 12:27,0
3/11/2020 12:28,0
3/11/2020 12:29,0
3/11/2020 12:30,0
3/11/2020 12:31,0
3/11/2020 12:32,0
3/11/2020 12:33,0
3/11/2020 12:34,0
3/11/2020 12:35,0
3/11/2020 12:36,0
3/11/2020 12:37,0
3/11/2020 12:38,0
3/11/2020 12:39,0
3/11/2020 12:40,0
3/11/2020 12:41,0
3/11/2020 12:42,0
3/11/2020 12:43,0
3/11/2020 12:44,0
3/11/2020 12:45,0
3/11/2020 12:46,0
3/11/2020 12:47,0
3/11/2020 12:48,0
3/11/2020 12:49,0
3/11/2020 12:50,0
3/11/2020 12:51,0
3/11/2020 12:52,0
3/11/2020 12:53,0
3/11/2020 12:54,0
3/11/2020 12:55,0
3/11/2020 12:56,0
3/11/2020 12:57,0
3/11/2020 12:58,0
3/11/2020 12:59,0
3/11/2020 13:00,0
3/11/2020 13:01,0
3/11/2020 13:02,0
3/11/2020 13:03,0
3/11/2020 13:04,0
3/11/2020 13:05,0
3/11/2020 13:06,0
3/11/2020 13:07,0
3/11/2020 13:08,0
3/11/2020 13:09,0
3/11/2020 13:10,0
3/11/2020 13:11,0
3/11/2020 13:12,0
3/11/2020 13:13,0
3/11/2020 13:14,0
3/11/2020 13:15,0
3/11/2020 13:16,0
3/11/2020 13:17,0
3/11/2020 13:18,0
3/11/2020 13:19,0
3/11/2020 13:20,0
3/11/2020 13:21,0
3/11/2020 13:22,0
3/11/2020 13:23,0
3/11/2020 13:24,0
3/11/2020 13:25,0
3/11/2020 13:26,0
3/11/2020 13:27,0
3/11/2020 13:28,0
3/11/2020 13:29,0
3/11/2020 13:30,0
3/11/2020 13:31,0
3/11/2020 13:32,0
3/11/2020 13:33,0
3/11/2020 13:34,0
3/11/2020 13:35,0
3/11/2020 13:36,0
3/11/2020 13:37,0
3/11/2020 13:38,0
3/11/2020 13:39,0
3/11/2020 13:40,0
3/11/2020 13:41,0
3/11/2020 13:42,0
3/11/2020 13:43,0
3/11/2020 13:44,0
3/11/2020 13:45,0
3/11/2020 13:46,0
3/11/2020 13:47,0
3/11/2020 13:48,0
3/11/2020 13:49,0
3/11/2020 13:50,0
3/11/2020 13:51,0
3/11/2020 13:52,0
3/11/2020 13:53,0
3/11/2020 13:54,0
3/11/2020 13:55,0
3/11/2020 13:56,0
3/11/2020 13:57,0
3/11/2020 13:58,0
3/11/2020 13:59,0
3/11/2020 14:00,0
3/11/2020 14:01,0
3/11/2020 14:02,0
3/11/2020 14:03,0
3/11/2020 14:04,0
3/11/2020 14:05,0
3/11/2020 14:06,0
3/11/2020 14:07,0
3/11/2020 14:08,0
3/11/2020 14:09,0
3/11/2020 14:10,0
3/11/2020 14:11,0
3/11/2020 14:12,0
3/11/2020 14:13,0
3/11/2020 14:14,0
3/11/2020 14:15,0
3/11/2020 14:16,0
3/11/2020 14:17,0
3/11/2020 14:18,0
3/11/2020 14:19,0
3/11/2020 14:20,0
3/11/2020 14:21,0
3/11/2020 14:22,0
3/11/2020 14:23,0
3/11/2020 14:24,0
3/11/2020 14:25,0
3/11/2020 14:26,0
3/11/2020 14:27,0
3/11/2020 14:28,0
3/11/2020 14:29,0
3/11/2020 14:30,0
3/11/2020 14:31,0
3/11/2020 14:32,0
3/11/2020 14:33,0
3/11/2020 14:34,0
3/11/2020 14:35,0
3/11/2020 14:36,0
3/11/2020 14:37,0
3/11/2020 14:38,0
3/11/2020 14:39,0
3/11/2020 14:40,0
3/11/2020 14:41,0
3/11/2020 14:42,0
3/11/2020 14:43,0
3/11/2020 14:44,0
3/11/2020 14:45,0
3/11/2020 14:46,0
3/11/2020 14:47,0
3/11/2020 14:48,0
3/11/2020 14:49,0
3/11/2020 14:50,0
3/11/2020 14:51,0
3/11/2020 14:52,0
3/11/2020 14:53,0
3/11/2020 14:54,0
3/11/2020 14:55,0
3/11/2020 14:56,0
3/11/2020 14:57,0
3/11/2020 14:58,0
3/11/2020 14:59,0
