ctime,activePower,label
2020-03-09 18:02:00,0.0,0.0
2020-03-09 18:03:00,0.0,0.0
2020-03-09 18:04:00,0.0,0.0
2020-03-09 18:05:00,0.0,0.0
2020-03-09 18:06:00,0.0,0.0
2020-03-09 18:07:00,0.0,0.0
2020-03-09 18:08:00,0.0,0.0
2020-03-09 18:09:00,0.0,0.0
2020-03-09 18:10:00,0.0,0.0
2020-03-09 18:11:00,0.0,0.0
2020-03-09 18:12:00,0.0,0.0
2020-03-09 18:13:00,0.0,0.0
2020-03-09 18:14:00,0.0,0.0
2020-03-09 18:15:00,0.0,0.0
2020-03-09 18:16:00,0.0,0.0
2020-03-09 18:17:00,0.0,0.0
2020-03-09 18:18:00,0.0,0.0
2020-03-09 18:19:00,0.0,0.0
2020-03-09 18:20:00,0.0,0.0
2020-03-09 18:21:00,0.0,0.0
2020-03-09 18:22:00,0.0,0.0
2020-03-09 18:23:00,0.0,0.0
2020-03-09 18:24:00,0.0,0.0
2020-03-09 18:25:00,0.0,0.0
2020-03-09 18:26:00,0.0,0.0
2020-03-09 18:27:00,0.0,0.0
2020-03-09 18:28:00,0.0,0.0
2020-03-09 18:29:00,0.0,0.0
2020-03-09 18:30:00,0.0,0.0
2020-03-09 18:31:00,0.0,0.0
2020-03-09 18:32:00,0.0,0.0
2020-03-09 18:33:00,0.0,0.0
2020-03-09 18:34:00,0.0,0.0
2020-03-09 18:35:00,0.0,0.0
2020-03-09 18:36:00,0.0,0.0
2020-03-09 18:37:00,0.0,0.0
2020-03-09 18:38:00,0.0,0.0
2020-03-09 18:39:00,0.0,0.0
2020-03-09 18:40:00,0.0,0.0
2020-03-09 18:41:00,0.0,0.0
2020-03-09 18:42:00,0.0,0.0
2020-03-09 18:43:00,0.0,0.0
2020-03-09 18:44:00,0.0,0.0
2020-03-09 18:45:00,0.0,0.0
2020-03-09 18:46:00,0.0,0.0
2020-03-09 18:47:00,0.0,0.0
2020-03-09 18:48:00,0.0,0.0
2020-03-09 18:49:00,0.0,0.0
2020-03-09 18:50:00,0.0,0.0
